,Date,Open,High,Low,Close,Volume,Yield,PercentageVolume,SMA6,EMA6,WMA6,HMA6,SMA20,EMA20,WMA20,HMA20,SMA50,EMA50,WMA50,HMA50,SMA100,EMA100,WMA100,HMA100,MACD,CCI,Stochastic Oscillator,RSI,ROC,PPO,KST,BOLU,BOLD,BOLM
108,2007-12-05 00:00,1.69195,1.69985,1.67465,1.67555,396141,-0.009693,0.000636,1.6697,1.675101,1.672976,1.68484,1.669187,1.662472,1.675643,1.673528,1.617469,1.637755,1.639747,1.698541,1.629127,1.626532,1.625624,1.642048,0.016753,59.034762,36.499215,53.093839,-1.577185,1.012125,54.265609,1.693445,1.644612,1.669028
109,2007-12-06 00:00,1.67555,1.67835,1.66335,1.66625,309572,-0.00555,0.000485,1.66895,1.672572,1.67199,1.678653,1.671255,1.662832,1.675364,1.67113,1.619422,1.638873,1.64166,1.699811,1.629593,1.627318,1.626359,1.645881,0.015053,18.496386,19.758065,48.170663,-1.498581,0.908985,52.980656,1.695244,1.646411,1.670828
110,2007-12-07 00:00,1.66625,1.6744,1.66045,1.67115,187335,0.002941,0.000745,1.6715,1.672166,1.672619,1.67034,1.673087,1.663624,1.675354,1.669226,1.621361,1.640139,1.643689,1.700605,1.630099,1.628186,1.627182,1.649536,0.013941,16.566844,27.66129,50.936465,-0.683446,0.841244,51.065175,1.697152,1.648319,1.672736
111,2007-12-09 00:00,1.6774,1.6777,1.67095,1.67185,10735,-0.003309,0.006288,1.673583,1.672075,1.672719,1.668392,1.674352,1.664407,1.675236,1.667874,1.623312,1.641382,1.645669,1.700957,1.630601,1.629051,1.628009,1.653055,0.012966,31.881017,28.790323,51.364275,-1.961532,0.78192,48.686958,1.698688,1.649855,1.674272
112,2007-12-10 00:00,1.67185,1.6762,1.6588,1.6612,200219,-0.00637,0.000869,1.672983,1.668968,1.669181,1.665306,1.675297,1.664102,1.673983,1.666416,1.625198,1.642159,1.647155,1.700544,1.630812,1.629688,1.628615,1.65634,0.011205,2.463475,11.669368,44.545652,-1.712866,0.675642,45.995014,1.699678,1.650845,1.675262
113,2007-12-11 00:00,1.6612,1.68415,1.65275,1.6717,263422,0.006321,0.001192,1.669617,1.669749,1.668814,1.666302,1.677125,1.664825,1.67364,1.666221,1.627304,1.643318,1.648978,1.699729,1.630588,1.63052,1.629425,1.659514,0.010536,19.466603,30.103257,51.821394,-0.152307,0.634886,43.235446,1.701331,1.652498,1.676914
114,2007-12-12 00:00,1.6717,1.675,1.6488,1.66275,431604,-0.005354,0.000607,1.667483,1.667749,1.666852,1.665277,1.677152,1.664628,1.672271,1.665882,1.628991,1.64408,1.650368,1.698329,1.630328,1.631158,1.630061,1.662474,0.009177,-12.931322,24.176776,45.898647,-0.478827,0.552927,40.449709,1.701784,1.652951,1.677368
115,2007-12-13 00:00,1.66265,1.67325,1.65905,1.66535,305245,0.001624,0.000465,1.667333,1.667064,1.666243,1.664593,1.677195,1.664697,1.671147,1.665513,1.630468,1.644914,1.651794,1.696594,1.630009,1.631835,1.630755,1.665241,0.008215,4.101692,32.419197,47.894798,0.573723,0.494858,37.760843,1.701868,1.653035,1.677452
116,2007-12-14 00:00,1.66525,1.67955,1.6633,1.6741,273536,0.005315,0.000594,1.667825,1.669074,1.668176,1.668552,1.675445,1.665592,1.670853,1.666019,1.632014,1.646059,1.653505,1.694867,1.629966,1.632672,1.631628,1.667904,0.008066,32.640893,49.559256,54.424579,0.888902,0.485574,35.071799,1.70074,1.651907,1.676323
117,2007-12-16 00:00,1.6683,1.6724,1.6659,1.6706,5227,0.001379,0.012435,1.667617,1.66951,1.668969,1.672012,1.673855,1.666069,1.670391,1.66645,1.633503,1.647021,1.655018,1.69305,1.629865,1.633423,1.632433,1.670422,0.007578,19.310324,42.703232,51.4488,0.34839,0.456009,32.276633,1.699177,1.650344,1.674761
