,Date,Open,High,Low,Close,Volume,Yield,PercentageVolume,SMA6,EMA6,WMA6,HMA6,SMA20,EMA20,WMA20,HMA20,SMA50,EMA50,WMA50,HMA50,SMA100,EMA100,WMA100,HMA100,MACD,CCI,Stochastic Oscillator,RSI,ROC,PPO,KST,BOLU,BOLD,BOLM
108,2007-05-09 00:00,1.4963,1.50216,1.49301,1.49581,255735,-0.000327,0.000358,1.50004,1.500671,1.498692,1.494743,1.516916,1.513842,1.509816,1.495965,1.533716,1.525992,1.524505,1.506962,1.532637,1.532041,1.531976,1.523725,-0.010437,-86.943645,7.842646,20.869366,-1.910239,-0.687718,-15.713535,1.528838,1.505012,1.516925
109,2007-05-10 00:00,1.49589,1.50175,1.49351,1.49772,253973,0.001223,0.000324,1.499542,1.499828,1.498029,1.495118,1.515041,1.512307,1.507988,1.493952,1.532719,1.524884,1.523094,1.50452,1.532496,1.531361,1.531285,1.521546,-0.010416,-75.410687,12.628414,27.012262,-1.697963,-0.687009,-16.680226,1.527024,1.503198,1.515111
110,2007-05-11 00:00,1.49792,1.50767,1.49482,1.50111,241113,0.00213,0.000533,1.49888,1.500194,1.498477,1.498357,1.513297,1.51124,1.506661,1.493125,1.531628,1.523951,1.521854,1.502327,1.532401,1.530762,1.530663,1.51941,-0.01001,-54.390832,24.794118,37.024165,-1.316127,-0.660749,-17.54059,1.525305,1.501479,1.513392
111,2007-05-13 00:00,1.50222,1.50473,1.50164,1.50401,12972,0.001192,0.002382,1.498885,1.501284,1.499943,1.502603,1.511613,1.510552,1.505777,1.493551,1.530485,1.523169,1.520771,1.500445,1.532331,1.530233,1.530101,1.517367,-0.009347,-41.105022,33.323529,44.534144,-0.670995,-0.617312,-18.290544,1.523762,1.499936,1.511849
112,2007-05-14 00:00,1.504,1.50614,1.49622,1.49819,254258,-0.003863,0.00039,1.498843,1.5004,1.499744,1.502342,1.5102,1.509374,1.504498,1.494181,1.529133,1.52219,1.519505,1.498702,1.532121,1.529598,1.529425,1.515367,-0.009185,-56.642685,17.81442,34.897393,-0.906806,-0.607103,-18.95115,1.522277,1.498451,1.510364
113,2007-05-15 00:00,1.49817,1.49924,1.4869,1.4934,254531,-0.003184,0.000485,1.498373,1.4984,1.498189,1.49739,1.508539,1.507853,1.502898,1.494316,1.527682,1.521061,1.518103,1.49699,1.53189,1.528881,1.528658,1.513375,-0.009336,-89.492265,17.706347,28.948638,-0.90377,-0.617655,-19.552643,1.520605,1.496779,1.508692
114,2007-05-16 00:00,1.49335,1.49687,1.49022,1.4908,254935,-0.001708,0.000261,1.497538,1.496229,1.496025,1.491628,1.506896,1.506229,1.501209,1.493707,1.526174,1.519874,1.516657,1.495251,1.531588,1.528127,1.527844,1.511377,-0.009555,-84.411214,13.466851,26.156142,-0.660354,-0.632792,-20.079518,1.519037,1.49521,1.507123
115,2007-05-17 00:00,1.49068,1.49553,1.47929,1.48405,252079,-0.004448,0.000644,1.49526,1.492749,1.492171,1.485621,1.504649,1.504117,1.499033,1.491978,1.524964,1.518469,1.515005,1.493319,1.531239,1.527254,1.526903,1.509323,-0.010156,-110.873944,14.078675,20.292386,-1.397268,-0.673464,-20.55809,1.517056,1.493229,1.505142
116,2007-05-18 00:00,1.48396,1.48431,1.46915,1.47015,249255,-0.009306,0.000608,1.4901,1.486292,1.484997,1.475484,1.502121,1.500882,1.495748,1.488299,1.523386,1.516574,1.512856,1.490866,1.530745,1.526124,1.525693,1.507087,-0.011621,-150.056391,2.498126,13.239862,-2.249365,-0.771987,-21.067576,1.51459,1.490763,1.502676
117,2007-05-20 00:00,1.47253,1.47404,1.47028,1.47339,7216,0.000584,0.005211,1.484997,1.482606,1.480223,1.469118,1.499544,1.498263,1.493011,1.483967,1.521987,1.514881,1.510895,1.488138,1.530186,1.525079,1.524558,1.504738,-0.012377,-137.306318,11.007269,20.656404,-1.671739,-0.823517,-21.547011,1.512046,1.488219,1.500132
