,Date,Open,High,Low,Close,Volume,Yield,PercentageVolume,SMA6,EMA6,WMA6,HMA6,SMA20,EMA20,WMA20,HMA20,SMA50,EMA50,WMA50,HMA50,SMA100,EMA100,WMA100,HMA100,MACD,CCI,Stochastic Oscillator,RSI,ROC,PPO,KST,BOLU,BOLD,BOLM
108,2007-05-07 00:00,1.6454,1.6483,1.64392,1.6477,295681,0.001398,0.000148,1.648167,1.646986,1.647357,1.645723,1.644163,1.643429,1.645479,1.64919,1.631335,1.63491,1.638599,1.650874,1.624217,1.627114,1.629446,1.644909,0.004316,65.271874,65.269461,58.336381,0.582975,0.262933,10.387509,1.649287,1.638308,1.643798
109,2007-05-08 00:00,1.6477,1.6507,1.6473,1.64905,665197,0.000819,5.1e-05,1.647758,1.647575,1.64761,1.647619,1.644323,1.643964,1.645944,1.649317,1.631942,1.635464,1.639294,1.65105,1.624598,1.627548,1.629938,1.645886,0.004256,93.622327,73.353293,61.856796,0.319382,0.259173,10.091852,1.649475,1.638496,1.643986
110,2007-05-09 00:00,1.6492,1.6498,1.64675,1.6493,806154,6.1e-05,3.8e-05,1.647658,1.648068,1.64805,1.649358,1.644618,1.644472,1.646418,1.649495,1.632621,1.636007,1.639975,1.651196,1.624974,1.627979,1.630427,1.64683,0.00418,75.771619,74.850299,62.533248,0.371227,0.254474,9.817018,1.649711,1.638732,1.644222
111,2007-05-10 00:00,1.6493,1.6502,1.6435,1.6443,915133,-0.003032,7.3e-05,1.647042,1.646992,1.64709,1.647567,1.644843,1.644456,1.646388,1.649143,1.633404,1.636332,1.640433,1.651181,1.625293,1.628302,1.63081,1.647688,0.003674,29.580157,43.936624,44.373156,-0.091141,0.22366,9.517753,1.649981,1.639001,1.644491
112,2007-05-11 00:00,1.6443,1.6485,1.64145,1.6484,786230,0.002493,9e-05,1.647358,1.647394,1.647479,1.646734,1.645368,1.644831,1.646727,1.648794,1.634161,1.636805,1.641021,1.651162,1.625627,1.6287,1.631267,1.648502,0.003563,31.138231,59.2,56.36322,0.298144,0.216839,9.203093,1.650399,1.63942,1.644909
113,2007-05-13 00:00,1.6479,1.6488,1.6474,1.6484,34439,0.000303,0.000407,1.647858,1.647681,1.647776,1.647401,1.645723,1.645171,1.647015,1.648469,1.634909,1.63726,1.641579,1.651143,1.625985,1.62909,1.631718,1.649269,0.003435,67.935279,59.2,56.36322,0.094119,0.209019,8.859445,1.650878,1.639899,1.645388
114,2007-05-14 00:00,1.64835,1.6522,1.6479,1.6507,705718,0.001426,6.1e-05,1.648358,1.648544,1.648588,1.64956,1.646148,1.645698,1.64749,1.648522,1.635787,1.637787,1.642199,1.651192,1.626357,1.629518,1.632208,1.650019,0.00348,97.041541,77.346278,62.4139,-0.048441,0.211645,8.52539,1.651299,1.64032,1.64581
115,2007-05-15 00:00,1.65065,1.6536,1.6484,1.6518,852117,0.000697,6.1e-05,1.648817,1.649474,1.649571,1.651612,1.646693,1.646279,1.648028,1.649035,1.63671,1.638336,1.642827,1.65133,1.626708,1.629959,1.632712,1.65076,0.003562,104.637572,85.185185,65.085492,0.115158,0.216606,8.196696,1.651801,1.640822,1.646311
116,2007-05-16 00:00,1.6518,1.6553,1.65017,1.6533,975428,0.000908,5.3e-05,1.649483,1.650567,1.650852,1.653308,1.647278,1.646948,1.648657,1.649918,1.637531,1.638923,1.643477,1.651583,1.627067,1.630422,1.633238,1.651502,0.003706,120.982034,85.559567,68.597486,0.321602,0.22527,7.895373,1.652388,1.641408,1.646898
117,2007-05-17 00:00,1.6533,1.6569,1.6514,1.6559,644553,0.001573,8.5e-05,1.651417,1.652091,1.652686,1.655303,1.648165,1.6478,1.649478,1.651237,1.638372,1.639589,1.644197,1.652002,1.627445,1.630926,1.633809,1.652264,0.003984,145.436789,93.527508,73.856875,0.570908,0.242047,7.641246,1.65318,1.642201,1.64769
