,Date,Open,High,Low,Close,Volume,Yield,PercentageVolume,SMA6,EMA6,WMA6,HMA6,SMA20,EMA20,WMA20,HMA20,SMA50,EMA50,WMA50,HMA50,SMA100,EMA100,WMA100,HMA100,MACD,CCI,Stochastic Oscillator,RSI,ROC,PPO,KST,BOLU,BOLD,BOLM
108,2007-05-07 00:00,1.3592,1.36255,1.35897,1.35957,670412,0.000272,5.3e-05,1.358705,1.359373,1.358713,1.359326,1.359928,1.357001,1.360271,1.359565,1.344005,1.345695,1.351765,1.367491,1.324197,1.334427,1.337259,1.364255,0.004475,78.351057,41.531165,52.202416,-0.277258,0.330289,17.20595,1.368192,1.35142,1.359806
109,2007-05-08 00:00,1.35962,1.36202,1.35155,1.35377,673355,-0.004303,0.000155,1.357632,1.357772,1.357303,1.357251,1.359777,1.356693,1.359684,1.358453,1.344832,1.346012,1.352148,1.367244,1.324844,1.33481,1.337845,1.364887,0.003709,-26.340773,13.333333,39.059614,-0.742723,0.273818,16.310808,1.368203,1.351431,1.359817
110,2007-05-09 00:00,1.35379,1.35641,1.35187,1.35326,659615,-0.000391,6.9e-05,1.35663,1.356483,1.356054,1.353907,1.359804,1.356366,1.359064,1.357022,1.345526,1.346296,1.352478,1.366771,1.325455,1.335176,1.338407,1.365389,0.003027,-64.706835,10.27027,38.08673,-0.437022,0.223454,15.282046,1.368197,1.351425,1.359811
111,2007-05-10 00:00,1.35325,1.35624,1.34656,1.34757,674149,-0.004197,0.000144,1.355378,1.353936,1.353466,1.349326,1.359326,1.355528,1.357899,1.354926,1.346104,1.346346,1.352559,1.365952,1.326007,1.335421,1.338845,1.365718,0.002004,-111.522459,4.667283,28.839512,-1.291386,0.14798,14.10817,1.367885,1.351113,1.359499
112,2007-05-11 00:00,1.3476,1.35305,1.34628,1.35222,615659,0.003428,0.00011,1.35426,1.353446,1.352563,1.348594,1.358864,1.355213,1.357222,1.353072,1.346684,1.346576,1.352798,1.364988,1.326599,1.335754,1.339364,1.365943,0.00155,-81.715962,27.09854,42.096151,-0.743568,0.1145,12.880034,1.367427,1.350655,1.359041
113,2007-05-13 00:00,1.35343,1.35433,1.35271,1.35397,56723,0.000399,0.000286,1.353393,1.353596,1.35248,1.351147,1.358442,1.355095,1.356756,1.351884,1.347207,1.346866,1.353084,1.363959,1.327222,1.336114,1.339906,1.3661,0.001317,-25.850438,35.082117,46.429773,-0.817505,0.097264,11.620369,1.36709,1.350318,1.358704
114,2007-05-14 00:00,1.35395,1.3557,1.35235,1.35417,666252,0.000162,5e-05,1.352493,1.35376,1.352702,1.353956,1.358211,1.355007,1.356349,1.3513,1.347669,1.347153,1.353357,1.362905,1.327827,1.336472,1.34044,1.366202,0.001135,-17.170672,36.714751,46.953303,-0.444049,0.083829,10.345665,1.366775,1.350003,1.358389
115,2007-05-15 00:00,1.3542,1.36071,1.35264,1.35896,667555,0.003515,0.000121,1.353358,1.355246,1.35455,1.357294,1.358164,1.355383,1.35642,1.351721,1.348216,1.347616,1.3538,1.362006,1.328458,1.336917,1.341056,1.36631,0.001362,31.712363,59.004188,58.233155,-0.022806,0.100544,9.097628,1.366649,1.349877,1.358263
116,2007-05-16 00:00,1.35901,1.36081,1.35035,1.35208,672164,-0.005099,0.000156,1.353162,1.354341,1.354185,1.356343,1.357868,1.355069,1.355841,1.351917,1.348639,1.347791,1.353952,1.361068,1.329025,1.337218,1.341524,1.36635,0.000975,-13.554962,27.844455,43.058863,-0.221389,0.071995,7.856191,1.366499,1.349726,1.358113
117,2007-05-17 00:00,1.3521,1.35421,1.34773,1.34937,665765,-0.002019,9.7e-05,1.353462,1.352921,1.353101,1.352181,1.357169,1.354526,1.355031,1.351627,1.348999,1.347853,1.35398,1.360035,1.32956,1.337458,1.341927,1.366303,0.000445,-63.216226,18.99201,38.499333,-0.703495,0.032842,6.604994,1.36598,1.349207,1.357594
118,2007-05-18 00:00,1.3494,1.35205,1.34648,1.35053,606693,0.000837,9.2e-05,1.35318,1.352238,1.352264,1.34924,1.3565,1.354145,1.354399,1.351172,1.349219,1.347958,1.35404,1.358978,1.330119,1.337717,1.342342,1.366196,0.000117,-66.268259,26.121696,41.555906,-0.635682,0.008614,5.355739,1.365254,1.348482,1.356868
119,2007-05-20 00:00,1.35123,1.35288,1.35123,1.35195,58641,0.000533,0.000281,1.352843,1.352156,1.351912,1.349634,1.356138,1.353936,1.353966,1.350855,1.349601,1.348114,1.354147,1.35794,1.330618,1.337999,1.342775,1.366059,-2.8e-05,-29.860875,34.849416,45.389527,-0.560471,-0.002102,4.18835,1.364805,1.348033,1.356419
120,2007-05-21 00:00,1.35195,1.35214,1.34359,1.3462,661493,-0.004253,0.000129,1.351515,1.350454,1.350014,1.348502,1.355188,1.3532,1.353019,1.350198,1.349967,1.348039,1.354014,1.356762,1.331119,1.338161,1.343083,1.365834,-0.0006,-86.271917,13.765823,34.741963,-0.559179,-0.044383,3.112769,1.36397,1.347197,1.355584
121,2007-05-22 00:00,1.34615,1.34744,1.34376,1.34487,663269,-0.000951,5.5e-05,1.349167,1.348859,1.348116,1.345801,1.354314,1.352406,1.352037,1.349199,1.350323,1.347915,1.353814,1.355452,1.331632,1.338294,1.343355,1.365517,-0.001148,-98.747484,6.751055,32.69501,-0.619984,-0.084882,2.106448,1.363093,1.346321,1.354707
122,2007-05-23 00:00,1.34487,1.35004,1.34149,1.34541,666984,0.000402,0.000128,1.348055,1.347873,1.347042,1.344078,1.353328,1.35174,1.351189,1.34797,1.350578,1.347817,1.353621,1.354073,1.332172,1.338435,1.343628,1.365116,-0.001521,-87.649147,19.094009,34.502874,-0.160289,-0.112486,1.11966,1.36218,1.345408,1.353794
123,2007-05-24 00:00,1.34537,1.34602,1.34155,1.34221,670904,-0.002349,6.7e-05,1.346862,1.346255,1.345372,1.342605,1.352428,1.350832,1.35013,1.346317,1.350725,1.347597,1.353293,1.352604,1.332675,1.33851,1.343827,1.364607,-0.002051,-106.106258,3.726708,29.149228,-0.740264,-0.151771,0.11871,1.361238,1.344466,1.352852
124,2007-05-25 00:00,1.34215,1.34714,1.34114,1.3438,422350,0.001229,0.000142,1.34574,1.345554,1.344498,1.342409,1.351654,1.350163,1.349308,1.344773,1.350985,1.347448,1.353022,1.351143,1.333153,1.338615,1.344047,1.364023,-0.002316,-83.898446,13.523132,34.937148,-0.751124,-0.171453,-0.899428,1.360502,1.34373,1.352116
125,2007-05-27 00:00,1.34465,1.3451,1.34399,1.3446,237012,-3.7e-05,4.7e-05,1.344515,1.345281,1.344172,1.343325,1.35113,1.349633,1.348636,1.343542,1.35122,1.347336,1.352771,1.349738,1.333637,1.338733,1.344274,1.363384,-0.002433,-68.080121,17.590239,37.883118,-0.706706,-0.180206,-1.882954,1.359871,1.343098,1.351485
126,2007-05-28 00:00,1.34456,1.34579,1.34425,1.34505,657418,0.000364,2.3e-05,1.344323,1.345215,1.344325,1.344605,1.350436,1.349196,1.348057,1.342787,1.351414,1.347247,1.352529,1.348436,1.33407,1.338858,1.3445,1.362713,-0.002461,-56.562274,19.877987,39.656476,-1.023577,-0.182358,-2.780269,1.359235,1.342462,1.350849
127,2007-05-29 00:00,1.34509,1.35183,1.34192,1.34507,663062,-1.5e-05,0.000149,1.344357,1.345174,1.344538,1.345307,1.349732,1.348803,1.347546,1.342468,1.351607,1.347161,1.352281,1.347268,1.334508,1.338981,1.344718,1.362017,-0.002454,-39.234331,19.979664,39.744692,-0.51846,-0.181855,-3.620058,1.358578,1.341806,1.350192
128,2007-05-30 00:00,1.34511,1.34563,1.34079,1.3431,661363,-0.001494,7.3e-05,1.343972,1.344581,1.344179,1.344467,1.348908,1.34826,1.346914,1.342202,1.351726,1.347002,1.351947,1.346184,1.334983,1.339063,1.344888,1.361281,-0.002577,-79.637459,11.538462,34.081966,-0.464661,-0.191064,-4.46762,1.357718,1.340946,1.349332
129,2007-05-31 00:00,1.3431,1.3471,1.34219,1.34523,661882,0.001586,7.4e-05,1.344475,1.344767,1.344539,1.344293,1.348481,1.347972,1.346564,1.342208,1.351986,1.346932,1.351692,1.345252,1.335477,1.339185,1.345091,1.360538,-0.002475,-51.770385,22.177822,44.0305,-0.392439,-0.183493,-5.283551,1.357171,1.340399,1.348785
130,2007-06-01 00:00,1.34526,1.34602,1.33915,1.34439,422815,-0.000647,0.000162,1.344573,1.344659,1.344514,1.344413,1.348038,1.34763,1.346174,1.342366,1.352126,1.346833,1.351394,1.344441,1.33599,1.339288,1.345267,1.359787,-0.002433,-69.588366,34.794157,41.200997,-0.559192,-0.180451,-6.038671,1.356638,1.339866,1.348252
131,2007-06-03 00:00,1.3441,1.34448,1.34353,1.3442,236695,7.4e-05,4e-05,1.344507,1.344528,1.344408,1.34444,1.347869,1.347304,1.345809,1.342615,1.352161,1.346729,1.351083,1.343725,1.336451,1.339385,1.34543,1.359027,-0.002388,-49.980088,36.780772,40.521382,-0.148566,-0.177142,-6.69554,1.356336,1.339563,1.34795
132,2007-06-04 00:00,1.34422,1.34978,1.34317,1.34907,658167,0.003608,0.0001,1.345177,1.345826,1.345711,1.346569,1.347712,1.347472,1.345923,1.343454,1.352386,1.346821,1.350962,1.343237,1.336921,1.339577,1.34568,1.358315,-0.001937,-0.961861,72.250546,60.023546,0.312298,-0.143671,-7.169228,1.356177,1.339405,1.347791
133,2007-06-05 00:00,1.34909,1.35515,1.34885,1.35157,662588,0.001838,9.5e-05,1.34626,1.347467,1.347538,1.350193,1.347592,1.347862,1.346291,1.34489,1.352682,1.347007,1.35093,1.343023,1.337403,1.339814,1.34597,1.357673,-0.001362,62.376637,77.625,66.524887,0.457853,-0.101005,-7.481706,1.356086,1.339314,1.3477
134,2007-06-06 00:00,1.35162,1.35371,1.34844,1.34957,663033,-0.001517,7.9e-05,1.347338,1.348068,1.348484,1.351708,1.347362,1.348025,1.346479,1.346387,1.352967,1.347108,1.350808,1.342988,1.337894,1.340008,1.346211,1.357068,-0.001056,40.396289,65.125,57.841727,0.548349,-0.078275,-7.666132,1.355911,1.339139,1.347525
135,2007-06-07 00:00,1.34963,1.35113,1.34209,1.34247,659601,-0.005305,0.000137,1.346878,1.346468,1.347093,1.347683,1.346537,1.347496,1.346013,1.346998,1.352959,1.346926,1.350397,1.342897,1.338302,1.340056,1.346301,1.356416,-0.00137,-50.812426,20.75,37.69049,-0.098973,-0.101616,-7.78935,1.355301,1.338529,1.346915
136,2007-06-08 00:00,1.34251,1.34269,1.33225,1.33708,599578,-0.004045,0.000174,1.34566,1.343786,1.344293,1.340287,1.345787,1.346504,1.345113,1.346264,1.352829,1.34654,1.349774,1.342597,1.338716,1.339997,1.346277,1.355665,-0.00203,-177.898976,21.091703,28.877887,-0.559274,-0.150713,-7.857212,1.354447,1.337675,1.346061
137,2007-06-10 00:00,1.33671,1.33711,1.33513,1.33559,56852,-0.000838,0.000348,1.344225,1.341444,1.341416,1.334575,1.345098,1.345464,1.344142,1.344507,1.352569,1.346111,1.349098,1.342074,1.339042,1.33991,1.346215,1.354812,-0.002644,-161.762338,14.585153,26.87367,-0.70332,-0.196361,-7.849756,1.353722,1.33695,1.345336
