,Date,Open,High,Low,Close,Volume,Yield,PercentageVolume,SMA6,EMA6,WMA6,HMA6,SMA20,EMA20,WMA20,HMA20,SMA50,EMA50,WMA50,HMA50,SMA100,EMA100,WMA100,HMA100,MACD,CCI,Stochastic Oscillator,RSI,ROC,PPO,KST,BOLU,BOLD,BOLM
108,2007-05-07 00:00,1.10655,1.10735,1.10055,1.10208,238413,-0.00404,0.000285,1.10723,1.107169,1.105947,1.10387,1.118521,1.1186,1.113269,1.104306,1.142746,1.136087,1.13029,1.105552,1.158111,1.148814,1.147056,1.119882,-0.010945,-103.628122,6.335404,17.650265,-1.744751,-0.974617,-30.439547,1.132044,1.105328,1.118686
109,2007-05-08 00:00,1.1022,1.1067,1.1003,1.1053,297279,0.002813,0.000215,1.106197,1.106635,1.105395,1.103172,1.116883,1.117333,1.112009,1.103094,1.141416,1.134879,1.128822,1.103842,1.157386,1.147952,1.14601,1.117801,-0.010676,-93.767679,20.491803,30.12018,-0.883289,-0.951788,-30.509716,1.13039,1.103675,1.117032
110,2007-05-09 00:00,1.1053,1.1093,1.10395,1.10521,450495,-8.1e-05,0.000119,1.105648,1.106228,1.105113,1.104002,1.115552,1.116178,1.110898,1.102268,1.140106,1.133716,1.127402,1.102318,1.156738,1.147106,1.144977,1.115773,-0.010351,-75.480514,20.122951,29.973801,-1.496435,-0.923809,-30.503894,1.12906,1.102344,1.115702
111,2007-05-10 00:00,1.10525,1.113,1.10484,1.1116,627543,0.005745,0.00013,1.106332,1.107763,1.106814,1.108125,1.114572,1.115742,1.110521,1.102533,1.138868,1.132849,1.126284,1.101181,1.156167,1.146403,1.144083,1.113879,-0.009469,-47.471414,50.222222,49.914434,-0.412113,-0.845552,-30.357214,1.127982,1.101266,1.114624
112,2007-05-11 00:00,1.1116,1.1168,1.10877,1.1103,381323,-0.001169,0.000211,1.106782,1.108488,1.107948,1.111224,1.113672,1.115224,1.110114,1.103489,1.137559,1.131964,1.125164,1.100354,1.155593,1.145688,1.143175,1.112107,-0.008773,-30.122655,44.642857,46.786961,-0.550853,-0.783932,-30.045776,1.127102,1.100386,1.113744
113,2007-05-13 00:00,1.1103,1.1116,1.10985,1.1109,17721,0.00054,0.000988,1.107565,1.109177,1.109124,1.11228,1.112782,1.114812,1.10985,1.104821,1.136266,1.131138,1.124118,1.099814,1.154942,1.144999,1.14229,1.110462,-0.00808,-40.603227,47.321429,48.505211,0.153264,-0.722419,-29.581734,1.126266,1.09955,1.112908
114,2007-05-14 00:00,1.1109,1.1125,1.1052,1.1064,422845,-0.004051,0.000173,1.108285,1.108384,1.108791,1.109709,1.111927,1.114011,1.109243,1.1058,1.134893,1.130168,1.122947,1.099398,1.154285,1.144235,1.141329,1.108897,-0.007805,-66.592563,31.524548,37.911491,-0.458839,-0.698312,-29.013283,1.125423,1.098707,1.112065
115,2007-05-15 00:00,1.1064,1.10715,1.09635,1.09895,442285,-0.006734,0.000244,1.107227,1.105688,1.106124,1.103253,1.110742,1.112577,1.108007,1.105577,1.133352,1.128944,1.121538,1.098882,1.153539,1.143338,1.140233,1.107335,-0.008094,-130.708589,11.158798,26.750846,-0.861525,-0.725085,-28.413186,1.124339,1.097623,1.110981
116,2007-05-16 00:00,1.09895,1.1063,1.0968,1.1026,526972,0.003321,0.00018,1.106792,1.104806,1.104802,1.099729,1.109764,1.111627,1.107231,1.104973,1.131871,1.127911,1.120332,1.098378,1.152844,1.142531,1.139224,1.105825,-0.007937,-113.584723,30.562347,37.20168,-0.442438,-0.711679,-27.740078,1.123305,1.096589,1.109947
117,2007-05-17 00:00,1.1026,1.1055,1.09669,1.09956,407558,-0.002757,0.000216,1.104785,1.103307,1.102736,1.098548,1.10866,1.110477,1.106259,1.103903,1.130662,1.126799,1.119064,1.097802,1.152115,1.14168,1.138169,1.104343,-0.007966,-123.670564,15.696822,32.715919,-0.725894,-0.71504,-26.999276,1.122242,1.095526,1.108884
118,2007-05-18 00:00,1.0998,1.1,1.0876,1.0885,647138,-0.010275,0.000192,1.101152,1.099076,1.098083,1.093396,1.107327,1.108384,1.104339,1.101517,1.129305,1.125297,1.117411,1.096857,1.151191,1.140627,1.13691,1.102775,-0.00878,-178.79111,3.082192,21.721155,-1.600072,-0.789481,-26.291047,1.120986,1.094271,1.107628
119,2007-05-20 00:00,1.08944,1.09,1.08827,1.08985,10363,0.000376,0.001669,1.097643,1.09644,1.094854,1.088452,1.10572,1.106619,1.102675,1.098546,1.127952,1.123907,1.115864,1.095695,1.150282,1.139622,1.135695,1.101149,-0.009211,-171.224993,7.705479,25.258794,-1.10972,-0.829402,-25.630685,1.119482,1.092766,1.106124
120,2007-05-21 00:00,1.08985,1.08985,1.0825,1.0848,393888,-0.004634,0.000187,1.094043,1.093115,1.091185,1.084404,1.10415,1.104541,1.100682,1.094775,1.126439,1.122373,1.114172,1.094261,1.149344,1.138536,1.134398,1.099427,-0.009846,-165.954119,6.705539,21.135954,-1.8547,-0.888106,-25.094173,1.117905,1.091189,1.104547
121,2007-05-22 00:00,1.0848,1.0879,1.08285,1.08701,413823,0.002037,0.000122,1.092053,1.09137,1.089175,1.083884,1.102678,1.102871,1.09905,1.091058,1.124966,1.120987,1.112625,1.092731,1.148382,1.137516,1.133164,1.097656,-0.010055,-138.700784,13.148688,27.140994,-1.646746,-0.90827,-24.728011,1.116401,1.089685,1.103043
122,2007-05-23 00:00,1.08703,1.0889,1.08125,1.083,555069,-0.003707,0.000138,1.088787,1.088979,1.086589,1.083229,1.101368,1.100979,1.097176,1.087451,1.123408,1.119497,1.11098,1.091074,1.147416,1.136436,1.131869,1.09582,-0.010424,-125.469372,4.922644,23.409157,-2.572868,-0.943124,-24.568763,1.115059,1.088343,1.101701
123,2007-05-24 00:00,1.08284,1.0853,1.0805,1.0848,459095,0.00181,0.000105,1.086327,1.087785,1.08545,1.083353,1.100033,1.099438,1.095598,1.08443,1.121986,1.118136,1.109466,1.089411,1.146469,1.135414,1.130629,1.093969,-0.010451,-111.054933,11.84573,28.500977,-2.296677,-0.946842,-24.540723,1.113767,1.087051,1.100409
124,2007-05-25 00:00,1.085,1.087,1.0775,1.0801,505231,-0.004516,0.000188,1.084927,1.085589,1.08367,1.081649,1.098613,1.097596,1.0937,1.081693,1.120411,1.116645,1.107823,1.087674,1.145449,1.134319,1.129315,1.092081,-0.010727,-106.242195,6.615776,23.744983,-2.772527,-0.973465,-24.621993,1.112362,1.085646,1.099004
125,2007-05-27 00:00,1.0791,1.0801,1.07856,1.07985,14897,0.000695,0.001034,1.08326,1.083949,1.08222,1.079741,1.09723,1.095906,1.091913,1.079363,1.118844,1.115202,1.106232,1.085944,1.144457,1.13324,1.128016,1.090181,-0.010842,-101.353859,5.979644,23.50426,-2.399675,-0.985327,-24.844932,1.110974,1.084259,1.097616
126,2007-05-28 00:00,1.07985,1.0812,1.07883,1.07952,259345,-0.000306,9.1e-05,1.08238,1.082684,1.081151,1.078633,1.095826,1.094346,1.090226,1.077497,1.117359,1.113802,1.10469,1.084247,1.143502,1.132176,1.12673,1.08829,-0.010834,-86.093678,5.771429,23.146855,-1.768051,-0.986029,-25.25911,1.109649,1.082933,1.096291
127,2007-05-29 00:00,1.07933,1.0835,1.07105,1.07385,573862,-0.005077,0.000217,1.080187,1.08016,1.078714,1.075944,1.094209,1.092394,1.088133,1.075553,1.115798,1.112236,1.102984,1.082463,1.14245,1.131021,1.125351,1.08637,-0.011157,-92.76594,6.755127,17.785291,-2.607473,-1.017134,-25.783143,1.10813,1.081414,1.094772
