Epochs,Batch_Size,Filters,Kernel,Learning_Rate,MSE,PearsonCorrelation,IsBestModel
100,32,16 32 64,2,0.0005,0.0009879068331870773,0.979206268174081,True
100,32,16 32 64,2,0.001,0.0006953128815010604,0.985345702543317,True
100,32,16 32 64,2,0.005,0.0003712234753342502,0.9903908119690079,True
100,32,16 32 64,2,0.01,0.0004728501906396335,0.98917661598274,False
100,32,16 32 64,2,0.1,0.000347630286350905,0.9907596721333517,True
100,32,16 32 64,3,0.0005,0.009475193839572293,0.7663173127758498,False
100,32,16 32 64,3,0.001,0.0009798196001468153,0.9905182132327838,False
100,32,16 32 64,3,0.005,0.0003712841810952331,0.9901329160368814,False
100,32,16 32 64,3,0.01,0.00040847409150185783,0.9903687252620312,False
100,32,16 32 64,3,0.1,0.0004408743233451817,0.988221399396217,False
100,32,16 32 64,5,0.0005,0.002276726601592328,0.9704662108216432,False
100,32,16 32 64,5,0.001,0.0006098614896599124,0.9928150545216823,False
100,32,16 32 64,5,0.005,0.0006845308114950817,0.9818762615697001,False
100,32,16 32 64,5,0.01,0.00036304915245142215,0.9919569607392752,True
100,32,16 32 64,5,0.1,0.0005021066057369792,0.9867666575830137,False
100,32,16 32 64,7,0.0005,0.0027813643015577507,0.9315306620677392,False
100,32,16 32 64,7,0.001,0.002463514756650264,0.9592433188563659,False
100,32,16 32 64,7,0.005,0.0005793284478207312,0.9898668156542887,False
100,32,16 32 64,7,0.01,0.00039541038552117137,0.989550800397094,False
100,32,16 32 64,7,0.1,0.0005381313413100083,0.9859945250551823,False
100,32,32 64 128,2,0.0005,0.00796954473144695,0.9554418813212886,False
100,32,32 64 128,2,0.001,0.0006537888087596409,0.9906172172591409,False
100,32,32 64 128,2,0.005,0.0005378660255597969,0.9950184108147161,True
100,32,32 64 128,2,0.01,0.00027370471638582116,0.9936378402308992,True
100,32,32 64 128,2,0.1,0.0004122442459244196,0.9900592726265485,False
100,32,32 64 128,3,0.0005,0.0007470577490870399,0.9871079610975281,False
100,32,32 64 128,3,0.001,0.0007218621208369346,0.9925948780521096,False
100,32,32 64 128,3,0.005,0.000710698257660834,0.9825974131103264,False
100,32,32 64 128,3,0.01,0.0008203880900657429,0.9791665774094627,False
100,32,32 64 128,3,0.1,0.0007694786148049986,0.9918245930363839,False
100,32,32 64 128,5,0.0005,0.003448549646438913,0.9307777346109405,False
100,32,32 64 128,5,0.001,0.0012151819452192127,0.9673483779618681,False
100,32,32 64 128,5,0.005,0.0005042116004587381,0.9911426532580568,False
100,32,32 64 128,5,0.01,0.00826640377485578,0.8886761903593828,False
100,32,32 64 128,5,0.1,0.0006135891504779604,0.9861624466892586,False
100,32,32 64 128,7,0.0005,0.0029602262331561635,0.9635464493555123,False
100,32,32 64 128,7,0.001,0.006598663325024807,0.8750567662456811,False
100,32,32 64 128,7,0.005,0.0004519661481760008,0.9956374308985524,True
100,32,32 64 128,7,0.01,0.00047857322553619637,0.9881909516535373,False
100,32,32 64 128,7,0.1,0.00036835333391283,0.9900336049014062,False
100,32,16 32 64 128,2,0.0005,0.003790404745175454,0.9555933633874423,False
100,32,16 32 64 128,2,0.001,0.0009309094210959371,0.978479130085195,False
100,32,16 32 64 128,2,0.005,0.0004654965296212079,0.9878531764588041,False
100,32,16 32 64 128,2,0.01,0.0010339563713818104,0.9760064483564213,False
100,32,16 32 64 128,2,0.1,0.0006124674322397508,0.9877790312484358,False
100,32,16 32 64 128,3,0.0005,0.0028395566382908165,0.9710433047463549,False
100,32,16 32 64 128,3,0.001,0.0006948276122085045,0.9820608877578106,False
100,32,16 32 64 128,3,0.005,0.00043374949048090967,0.9897561791813189,False
100,32,16 32 64 128,3,0.01,0.0003427006699362031,0.9908130669338215,False
100,32,16 32 64 128,3,0.1,0.0004477069800646993,0.9888329369688943,False
100,32,16 32 64 128,5,0.0005,0.007830051394354524,0.9276234137903866,False
100,32,16 32 64 128,5,0.001,0.003689631521898914,0.9624208195995644,False
100,32,16 32 64 128,5,0.005,0.0006984252115215263,0.9892627296401755,False
100,32,16 32 64 128,5,0.01,0.00045496504209424746,0.9897637067523559,False
100,32,16 32 64 128,5,0.1,0.0004876143467378573,0.9891739716218347,False
100,32,16 32 64 128,7,0.0005,0.0034203917534733315,0.902169577425162,False
100,32,16 32 64 128,7,0.001,0.001786124202332426,0.9578110534846828,False
100,32,16 32 64 128,7,0.005,0.0005866289473553653,0.9907612451380831,False
100,32,16 32 64 128,7,0.01,0.00039768469445690895,0.9908279521722644,False
100,32,16 32 64 128,7,0.1,0.0004801725637008268,0.9878658313822445,False
100,32,32 64 128 256,2,0.0005,0.006917430271062479,0.9534482500859471,False
100,32,32 64 128 256,2,0.001,0.002241832359619466,0.9505672099272682,False
100,32,32 64 128 256,2,0.005,0.0024619337447061265,0.9676000814936851,False
100,32,32 64 128 256,2,0.01,0.0005647212355379536,0.986500391509157,False
100,32,32 64 128 256,2,0.1,0.0015032053078291314,0.9857522503946625,False
100,32,32 64 128 256,3,0.0005,0.007115096313646738,0.8452793596273251,False
100,32,32 64 128 256,3,0.001,0.001577917943509333,0.9843912837713348,False
