Epochs,Batch_Size,Learning_Rate,SizeLSTMCell,MSE,PearsonCorrelation,IsBestModel
100,32,0.0005,128,2,0.00012333182232496806,0.99652541228704,True
100,32,0.00075,128,2,0.00010929090687220033,0.9969331654028485,True
100,32,0.001,128,2,0.00011701055987713176,0.9968497766063754,False
100,32,0.01,128,2,9.311455725421803e-05,0.9975416514561123,True
100,32,0.1,128,2,0.01784155068459107,nan,False
100,32,0.0005,256,2,0.00010588499278028408,0.9971122684676061,False
100,32,0.00075,256,2,9.873767105552233e-05,0.9973395931287493,False
100,32,0.001,256,2,8.969535054946172e-05,0.9974985628196298,True
100,32,0.01,256,2,9.704740015451637e-05,0.9975037640469175,False
100,32,0.1,256,2,0.01784441165487119,nan,False
100,32,0.0005,512,2,0.00010695615341225683,0.9970108723478888,False
100,32,0.00075,512,2,9.507784857565672e-05,0.9973344290800764,False
100,32,0.001,512,2,9.58290554657553e-05,0.9973141676060038,False
100,32,0.01,512,2,9.58568544571632e-05,0.9973463930707498,False
100,32,0.1,512,2,0.017797254555968,nan,False
100,32,0.0005,128,3,0.00016099548480340612,0.9954698673141075,False
100,32,0.00075,128,3,0.00012538304674906208,0.9968743096861883,False
100,32,0.001,128,3,0.00010310285610626073,0.9971798696484526,False
100,32,0.01,128,3,0.00011062462145794284,0.9970322690642263,False
100,32,0.1,128,3,0.017834659245081295,nan,False
100,32,0.0005,256,3,0.00012702405109233096,0.9965095976760986,False
100,32,0.00075,256,3,9.773454078318483e-05,0.9972593177352717,False
100,32,0.001,256,3,9.695306341664183e-05,0.9973344289721728,False
100,32,0.01,256,3,0.00012334105842837557,0.9966039971908334,False
100,32,0.1,256,3,0.017860438562078657,nan,False
100,32,0.0005,512,3,0.00010628340588410718,0.9971147032824875,False
100,32,0.00075,512,3,9.310190890536787e-05,0.9974218524147418,False
100,32,0.001,512,3,0.00010062705729497097,0.9971789520891737,False
100,32,0.01,512,3,0.0009992650559318462,0.9811214304046214,False
100,32,0.1,512,3,0.01780925586155255,nan,False
100,32,0.0005,128,4,0.00012201780857037594,0.996706799065413,False
100,32,0.00075,128,4,0.00011551395732763572,0.9967791667489491,False
100,32,0.001,128,4,0.00010219318190506827,0.9972520757360396,False
100,32,0.01,128,4,0.00012927317538003402,0.9964082734198957,False
100,32,0.1,128,4,0.01787554407750759,nan,False
100,32,0.0005,256,4,0.00012433515303497702,0.9965277370882201,False
100,32,0.00075,256,4,0.00011038531809776614,0.9973402297843555,False
100,32,0.001,256,4,0.00012458127488361743,0.996996970737452,False
100,32,0.01,256,4,0.00011509543788641962,0.9967804422290001,False
100,32,0.1,256,4,0.01830282912942085,nan,False
100,32,0.0005,512,4,0.00012849041406989367,0.9965238862316375,False
100,32,0.00075,512,4,0.00011385625503323378,0.9972476172140164,False
100,32,0.001,512,4,0.0001015129814164528,0.9971776230301191,False
100,32,0.01,512,4,0.0002648681749595267,0.9957134903677978,False
100,32,0.1,512,4,0.017869024641410623,nan,False
100,32,0.0005,128,5,0.0001304360663124183,0.9965185610830757,False
100,32,0.00075,128,5,0.0001407103758498102,0.9970276343685405,False
100,32,0.001,128,5,9.47978265022369e-05,0.9973515644716558,False
100,32,0.01,128,5,0.001173925644360125,0.9666761889407794,False
100,32,0.1,128,5,0.017836904894043284,nan,False
100,32,0.0005,256,5,0.00013874422824940958,0.9962700967788953,False
100,32,0.00075,256,5,0.00012431644687563065,0.9971434779795816,False
100,32,0.001,256,5,0.00010396492329363679,0.9971809541454001,False
100,32,0.01,256,5,9.437701729759225e-05,0.9975502745615441,False
100,32,0.1,256,5,0.0178906575713582,nan,False
100,32,0.0005,512,5,0.00013030185959876843,0.9963585142923271,False
100,32,0.00075,512,5,0.00010955251987411346,0.9971037254748355,False
100,32,0.001,512,5,0.0001240230584956486,0.996790064637822,False
100,32,0.01,512,5,0.00048472760353586745,0.9919219124280114,False
100,32,0.1,512,5,0.017836780163109425,nan,False
100,32,0.0005,128,6,0.00022674197029879729,0.9936605778419576,False
100,32,0.00075,128,6,0.0002829986072615672,0.9921582373711119,False
100,32,0.001,128,6,0.00011514845248740668,0.9969432581347285,False
100,32,0.01,128,6,0.00011198298495920624,0.9972714875606685,False
100,32,0.1,128,6,0.017772545137035085,nan,False
100,32,0.0005,256,6,0.0002190511109236876,0.9940081604245996,False
100,32,0.00075,256,6,0.00010395376773994612,0.997118345888232,False
100,32,0.001,256,6,0.00010913724589383072,0.9969656858693905,False
100,32,0.01,256,6,0.0001732511388129112,0.9951140946066743,False
100,32,0.1,256,6,0.017847918924932083,nan,False
100,32,0.0005,512,6,0.00011175577793253186,0.997072701927304,False
100,32,0.00075,512,6,0.00012498877311528778,0.9968745144320037,False
100,32,0.001,512,6,0.00010738005147103127,0.9971657025872825,False
100,32,0.01,512,6,0.0010662145840052498,0.9704443658021595,False
100,32,0.1,512,6,0.017791262284741195,nan,False
100,32,0.0005,128,7,0.0003454851831862412,0.9937954640013785,False
100,32,0.00075,128,7,0.0001406023434139143,0.9962227610624231,False
100,32,0.001,128,7,0.0001331137565240299,0.996479147368534,False
100,32,0.01,128,7,0.00010789044566105428,0.9969968605786139,False
100,32,0.1,128,7,0.017777515058904167,nan,False
100,32,0.0005,256,7,0.000132824199933707,0.9963856650607767,False
100,32,0.00075,256,7,0.00015449268720666367,0.9973264441058306,False
100,32,0.001,256,7,0.00011991282734309734,0.9968948364001657,False
100,32,0.01,256,7,0.00014962323812699923,0.995864698799428,False
100,32,0.1,256,7,0.017787074602476576,nan,False
100,32,0.0005,512,7,9.861505277111272e-05,0.997274092553797,False
100,32,0.00075,512,7,0.00011197143771554364,0.9970222710378929,False
100,32,0.001,512,7,0.00012617748420669885,0.9971616326364654,False
100,32,0.01,512,7,0.00012977677279049613,0.9963644180634951,False
100,32,0.1,512,7,0.01815992379906268,nan,False
200,32,0.0005,128,2,9.001810770091376e-05,0.9974866223961795,False
200,32,0.00075,128,2,8.566341267970575e-05,0.9976792484115767,True
200,32,0.001,128,2,8.617349406493088e-05,0.9978601243996433,True
200,32,0.01,128,2,7.101306451948727e-05,0.9980115069266947,True
200,32,0.1,128,2,0.017891909733137125,nan,False
200,32,0.0005,256,2,8.397228642735829e-05,0.9977023899978816,False
200,32,0.00075,256,2,8.34713091636e-05,0.9977288033372539,False
200,32,0.001,256,2,7.562892648598652e-05,0.9978874281243139,False
200,32,0.01,256,2,7.472456301376801e-05,0.9979599405365116,False
