Eppchs,Batch_Size,NumberOfChannels,Filters,Learning_Rate,MSE,PearsonCorrelation,IsBestModel
30,32,2,25,3,0.0005,0.0022897659047228396,0.9548149503942516, True
30,32,2,64,3,0.0005,0.0041887615064889975,0.9442851833439763, False
30,32,2,100,3,0.0005,0.003575733714742832,0.951478131666831, False
30,32,3,25,3,0.0005,0.0018314762100783129,0.9502010434354922, True
30,32,3,64,3,0.0005,0.0016519493982775596,0.9768866385340587, True
30,32,3,100,3,0.0005,0.0016141286957579032,0.9773601015181637, True
30,32,4,25,3,0.0005,0.001236334122405293,0.9878846084080645, True
30,32,4,64,3,0.0005,0.0012707647651887736,0.9920247502757273, True
30,32,4,100,3,0.0005,0.00034639552235068456,0.99241649217518, True
30,32,5,25,3,0.0005,0.0008466653470269331,0.9929227681959425, False
30,32,5,64,3,0.0005,0.0009575087756036924,0.9928344533152879, False
30,32,5,100,3,0.0005,0.0008205677955558032,0.994674640714606, False
30,32,6,25,3,0.0005,0.001914302528915972,0.9922791893499908, False
30,32,6,64,3,0.0005,0.0006346999800460482,0.9949276942447122, True
30,32,6,100,3,0.0005,0.0004926640971198239,0.9963313790470151, True
30,32,7,25,3,0.0005,0.0008177989092487752,0.9950350043255942, False
30,32,7,64,3,0.0005,0.0016924372407709414,0.9956592598887547, False
30,32,7,100,3,0.0005,0.0014659369342716155,0.9940695701618361, False
30,32,8,25,3,0.0005,0.0012050192885302128,0.9932178691801854, False
30,32,8,64,3,0.0005,0.0021000432219437076,0.9942728857378362, False
30,32,8,100,3,0.0005,0.0023525282159729995,0.9966090918198366, False
30,32,2,25,3,0.001,0.002065261344094713,0.9461411538956104, False
30,32,2,64,3,0.001,0.0025824196291158136,0.9473039858122622, False
30,32,2,100,3,0.001,0.002135235062464298,0.9432941118472146, False
30,32,3,25,3,0.001,0.002222222127596665,0.9545604211900304, False
30,32,3,64,3,0.001,0.0017614240282680226,0.9769358195369204, False
30,32,3,100,3,0.001,0.001345923373117501,0.970319782912792, False
30,32,4,25,3,0.001,0.002062831270347747,0.987041259412988, False
30,32,4,64,3,0.001,0.0016674657408667388,0.99004814228801, False
30,32,4,100,3,0.001,0.00048444606957621336,0.991192585654156, False
30,32,5,25,3,0.001,0.0007825451753847842,0.9930014466504248, False
30,32,5,64,3,0.001,0.0015084051050053631,0.9945696227840881, False
30,32,5,100,3,0.001,0.00019773578292502612,0.9957025391199811, True
30,32,6,25,3,0.001,0.0008311198921669176,0.9945709435013879, False
30,32,6,64,3,0.001,0.001231367804875192,0.9948084749047881, False
30,32,6,100,3,0.001,0.000254878348395951,0.9964127634941393, True
30,32,7,25,3,0.001,0.0009264501553013817,0.9955736285757238, False
30,32,7,64,3,0.001,0.0006527047018276818,0.9942680564030002, False
30,32,7,100,3,0.001,0.0003717143604445637,0.9960754887963382, False
30,32,8,25,3,0.001,0.0004417505641109947,0.9931054409500958, False
30,32,8,64,3,0.001,0.0008080142703085281,0.9928591184559629, False
30,32,8,100,3,0.001,0.00024825605995914987,0.9970220754318382, True
30,32,2,25,3,0.01,0.001884157498062906,0.9553327657822797, False
30,32,2,64,3,0.01,0.002418813940891399,0.9572271303115685, False
30,32,2,100,3,0.01,0.002047496255898267,0.9558946588361864, False
30,32,3,25,3,0.01,0.0018260554790587818,0.9575227987991036, False
30,32,3,64,3,0.01,0.0016844113383892732,0.9558823511968821, False
30,32,3,100,3,0.01,0.0040025148667080365,0.9746137365536253, False
30,32,4,25,3,0.01,0.0005607327907545657,0.9888183992979314, False
30,32,4,64,3,0.01,0.0006075276316950808,0.9884647461620926, False
30,32,4,100,3,0.01,0.0008308903910175345,0.9858262528626978, False
30,32,5,25,3,0.01,0.0006743187357754159,0.9896488486105597, False
30,32,5,64,3,0.01,0.000552473519091649,0.9937179541235676, False
30,32,5,100,3,0.01,0.000614144735046943,0.9931729913750823, False
30,32,6,25,3,0.01,0.0003921976754829443,0.9946277103428871, False
