Model,InitialBudget,Risk_Factor,Smooth_Factor,Leverage,Final_Budget
CNN,200,0.1,1,50,161.51276826858668
CNN,200,0.1,1,100,160.9074711799637
CNN,200,0.1,1,150,159.57274436950837
CNN,200,0.1,1,200,157.90871381759794
CNN,200,0.1,1,250,155.61740398407127
CNN,200,0.1,1,300,152.02754735946797
CNN,200,0.1,1,350,148.1491565704359
CNN,200,0.1,1,400,143.44911575317508
CNN,200,0.1,1,450,138.08816671371582
CNN,200,0.1,1,500,131.6674470901501
CNN,200,0.1,2,50,179.9582481384284
CNN,200,0.1,2,100,179.65559959411678
CNN,200,0.1,2,150,178.98823618888912
CNN,200,0.1,2,200,178.15622091293397
CNN,200,0.1,2,250,177.01056599617075
CNN,200,0.1,2,300,175.21563768386926
CNN,200,0.1,2,350,173.27644228935344
CNN,200,0.1,2,400,170.92642188072324
CNN,200,0.1,2,450,168.24594736099374
CNN,200,0.1,2,500,165.035587549211
CNN,200,0.1,3,50,187.07137902577472
CNN,200,0.1,3,100,186.86961332956704
CNN,200,0.1,3,150,186.42470439274868
CNN,200,0.1,3,200,185.87002754211187
CNN,200,0.1,3,250,185.106257597603
CNN,200,0.1,3,300,183.90963872273522
CNN,200,0.1,3,350,182.61684179305777
CNN,200,0.1,3,400,181.05016152063743
CNN,200,0.1,3,450,179.26317850748427
CNN,200,0.1,3,500,177.12293863296222
CNN,200,0.1,4,50,189.55266773700677
CNN,200,0.1,4,100,189.40134346485095
CNN,200,0.1,4,150,189.06766176223712
CNN,200,0.1,4,200,188.65165412425955
CNN,200,0.1,4,250,188.07882666587795
CNN,200,0.1,4,300,187.18136250972717
CNN,200,0.1,4,350,186.21176481246926
CNN,200,0.1,4,400,185.03675460815415
CNN,200,0.1,4,450,183.6965173482894
CNN,200,0.1,4,500,182.09133744239804
CNN,200,0.1,5,50,191.9302272796634
CNN,200,0.1,5,100,191.80916786193885
CNN,200,0.1,5,150,191.5422224998479
CNN,200,0.1,5,200,191.20941638946587
CNN,200,0.1,5,250,190.7511544227606
CNN,200,0.1,5,300,190.03318309784007
CNN,200,0.1,5,350,189.25750494003373
CNN,200,0.1,5,400,188.31749677658163
CNN,200,0.1,5,450,187.2453069686899
CNN,200,0.1,5,500,185.96116304397665
CNN,200,0.1,6,50,193.51526697476874
CNN,200,0.1,6,100,193.41438412666503
CNN,200,0.1,6,150,193.19192965825596
CNN,200,0.1,6,200,192.91459123293765
CNN,200,0.1,6,250,192.5327062606833
CNN,200,0.1,6,300,191.93439682324959
CNN,200,0.1,6,350,191.28799835841096
CNN,200,0.1,6,400,190.50465822220093
CNN,200,0.1,6,450,189.61116671562428
CNN,200,0.1,6,500,188.54104677836335
CNN,200,0.1,7,50,194.64743818555593
CNN,200,0.1,7,100,194.5609671728957
CNN,200,0.1,7,150,194.37029191425944
CNN,200,0.1,7,200,194.13257326398679
CNN,200,0.1,7,250,193.80524328776892
CNN,200,0.1,7,300,193.2924066271114
CNN,200,0.1,7,350,192.7383508001069
CNN,200,0.1,7,400,192.06691639764108
CNN,200,0.1,7,450,191.3010665348612
CNN,200,0.1,7,500,190.3838208743519
CNN,200,0.1,8,50,195.49656659364703
CNN,200,0.1,8,100,195.42090445756924
CNN,200,0.1,8,150,195.25406360626232
CNN,200,0.1,8,200,195.04605978727346
CNN,200,0.1,8,250,194.75964605808252
CNN,200,0.1,8,300,194.31091398000703
CNN,200,0.1,8,350,193.82611513137783
CNN,200,0.1,8,400,193.23861002922007
CNN,200,0.1,8,450,192.56849139928758
CNN,200,0.1,8,500,191.76590144634176
CNN,200,0.1,9,50,196.15699979994145
CNN,200,0.1,9,100,196.08974456787217
CNN,200,0.1,9,150,195.94144158893266
CNN,200,0.1,9,200,195.75654930538695
CNN,200,0.1,9,250,195.50195932388397
CNN,200,0.1,9,300,195.10308636559466
CNN,200,0.1,9,350,194.6721540557021
CNN,200,0.1,9,400,194.14992729822848
CNN,200,0.1,9,450,193.55426629384402
CNN,200,0.1,9,500,192.8408530023366
CNN,200,0.1,10,50,196.68534636497455
CNN,200,0.1,10,100,196.62481665611224
CNN,200,0.1,10,150,196.4913439750667
CNN,200,0.1,10,200,196.32494091987562
CNN,200,0.1,10,250,196.09580993652295
CNN,200,0.1,10,300,195.7368242740625
CNN,200,0.1,10,350,195.34898519515943
CNN,200,0.1,10,400,194.87898111343335
CNN,200,0.1,10,450,194.34288620948743
CNN,200,0.1,10,500,193.70081424713092
CNN,200,0.2,1,50,131.39381408691207
CNN,200,0.2,1,100,130.18321990966604
CNN,200,0.2,1,150,127.51376628875539
CNN,200,0.2,1,200,124.18570518493459
CNN,200,0.2,1,250,118.93804073333536
CNN,200,0.2,1,300,112.04707622527856
CNN,200,0.2,1,350,103.83429527282489
CNN,200,0.2,1,400,93.50197315215836
CNN,200,0.2,1,450,80.23583889007337
CNN,200,0.2,1,500,65.36161899566416
CNN,200,0.2,2,50,167.7572011947637
CNN,200,0.2,2,100,167.1519041061407
CNN,200,0.2,2,150,165.81717729568538
CNN,200,0.2,2,200,164.15314674377495
CNN,200,0.2,2,250,161.8618369102483
CNN,200,0.2,2,300,158.271980285645
CNN,200,0.2,2,350,154.39358949661292
CNN,200,0.2,2,400,149.6935486793521
CNN,200,0.2,2,450,144.33259963989283
CNN,200,0.2,2,500,137.9118800163271
CNN,200,0.2,3,50,176.45491758982448
CNN,200,0.2,3,100,176.05138619740913
CNN,200,0.2,3,150,175.16156832377217
CNN,200,0.2,3,200,174.05221462249855
CNN,200,0.2,3,250,172.5246747334808
CNN,200,0.2,3,300,170.1314369837452
CNN,200,0.2,3,350,167.5458431243906
CNN,200,0.2,3,400,164.41248257955013
CNN,200,0.2,3,450,160.83851655324398
CNN,200,0.2,3,500,156.55803680420033
CNN,200,0.2,4,50,183.23062658309945
CNN,200,0.2,4,100,182.92797803878784
CNN,200,0.2,4,150,182.26061463356018
CNN,200,0.2,4,200,181.42859935760504
CNN,200,0.2,4,250,180.28294444084182
CNN,200,0.2,4,300,178.48801612854032
CNN,200,0.2,4,350,176.5488207340245
CNN,200,0.2,4,400,174.1988003253943
CNN,200,0.2,4,450,171.5183258056648
CNN,200,0.2,4,500,168.30796599388205
CNN,200,0.2,5,50,187.55749225616404
CNN,200,0.2,5,100,187.3153734207147
CNN,200,0.2,5,150,186.7814826965324
CNN,200,0.2,5,200,186.11587047576796
CNN,200,0.2,5,250,185.19934654235692
CNN,200,0.2,5,300,183.76340389251538
CNN,200,0.2,5,350,182.21204757690225
CNN,200,0.2,5,400,180.33203124999773
CNN,200,0.2,5,450,178.18765163421364
CNN,200,0.2,5,500,175.6193637847869
CNN,200,0.2,6,50,189.78595336278008
CNN,200,0.2,6,100,189.5841876665724
CNN,200,0.2,6,150,189.13927872975404
CNN,200,0.2,6,200,188.58460187911723
CNN,200,0.2,6,250,187.82083193460835
CNN,200,0.2,6,300,186.62421305974058
CNN,200,0.2,6,350,185.33141613006313
CNN,200,0.2,6,400,183.7647358576428
CNN,200,0.2,6,450,181.97775284448963
CNN,200,0.2,6,500,179.83751296996758
CNN,200,0.2,7,50,191.24759946550665
CNN,200,0.2,7,100,191.07465744018577
CNN,200,0.2,7,150,190.69330692291283
CNN,200,0.2,7,200,190.21786962236706
CNN,200,0.2,7,250,189.56320966993087
CNN,200,0.2,7,300,188.53753634861562
CNN,200,0.2,7,350,187.42942469460667
CNN,200,0.2,7,400,186.08655588967514
CNN,200,0.2,7,450,184.55485616411545
CNN,200,0.2,7,500,182.72036484309683
CNN,200,0.2,8,50,190.99313318729364
CNN,200,0.2,8,100,190.84180891513782
CNN,200,0.2,8,150,190.508127212524
CNN,200,0.2,8,200,190.09211957454642
CNN,200,0.2,8,250,189.51929211616482
CNN,200,0.2,8,300,188.62182796001403
CNN,200,0.2,8,350,187.65223026275612
CNN,200,0.2,8,400,186.47722005844102
CNN,200,0.2,8,450,185.13698279857627
CNN,200,0.2,8,500,183.5318028926849
CNN,200,0.2,9,50,192.3139995998795
CNN,200,0.2,9,100,192.17948913574114
CNN,200,0.2,9,150,191.88288317786228
CNN,200,0.2,9,200,191.5130986107712
CNN,200,0.2,9,250,191.00391864776523
CNN,200,0.2,9,300,190.2061727311868
CNN,200,0.2,9,350,189.34430811140194
CNN,200,0.2,9,400,188.29985459645522
CNN,200,0.2,9,450,187.10853258768648
CNN,200,0.2,9,500,185.6817060046719
CNN,200,0.2,10,50,193.3706927299502
CNN,200,0.2,10,100,193.24963331222565
CNN,200,0.2,10,150,192.9826879501347
CNN,200,0.2,10,200,192.64988183975268
CNN,200,0.2,10,250,192.19161987304742
CNN,200,0.2,10,300,191.47364854812687
CNN,200,0.2,10,350,190.69797039032053
CNN,200,0.2,10,400,189.75796222686844
CNN,200,0.2,10,450,188.6857724189767
CNN,200,0.2,10,500,187.40162849426346
CNN,200,0.30000000000000004,1,50,110.4313492774979
CNN,200,0.30000000000000004,1,100,108.61545801162868
CNN,200,0.30000000000000004,1,150,105.12053966522365
CNN,200,0.30000000000000004,1,200,99.16067123413231
CNN,200,0.30000000000000004,1,250,91.21807813644537
CNN,200,0.30000000000000004,1,300,80.09617328643915
CNN,200,0.30000000000000004,1,350,64.57355022430522
CNN,200,0.30000000000000004,1,400,46.63879871368498
CNN,200,0.30000000000000004,1,450,22.97556400299151
CNN,200,0.30000000000000004,1,500,0.539727345476309
CNN,200,0.30000000000000004,2,50,155.3901970386507
CNN,200,0.30000000000000004,2,100,154.48225140571608
CNN,200,0.30000000000000004,2,150,152.4801611900331
CNN,200,0.30000000000000004,2,200,149.98411536216756
CNN,200,0.30000000000000004,2,250,146.9892859458926
CNN,200,0.30000000000000004,2,300,142.76198148727454
CNN,200,0.30000000000000004,2,350,137.5433146953587
CNN,200,0.30000000000000004,2,400,130.73499202728314
CNN,200,0.30000000000000004,2,450,121.7263102531439
CNN,200,0.30000000000000004,2,500,111.51156425476158
CNN,200,0.30000000000000004,3,50,172.36256599426372
CNN,200,0.30000000000000004,3,100,171.75726890564073
CNN,200,0.30000000000000004,3,150,170.4225420951854
CNN,200,0.30000000000000004,3,200,168.75851154327498
CNN,200,0.30000000000000004,3,250,166.4672017097483
CNN,200,0.30000000000000004,3,300,162.877345085145
CNN,200,0.30000000000000004,3,350,158.99895429611294
CNN,200,0.30000000000000004,3,400,154.2989134788521
CNN,200,0.30000000000000004,3,450,148.93796443939286
CNN,200,0.30000000000000004,3,500,142.51724481582713
CNN,200,0.30000000000000004,4,50,176.24897658824915
CNN,200,0.30000000000000004,4,100,175.79500377178195
CNN,200,0.30000000000000004,4,150,174.79395866394046
CNN,200,0.30000000000000004,4,200,173.5459357500076
CNN,200,0.30000000000000004,4,250,171.82745337486253
CNN,200,0.30000000000000004,4,300,169.13506090641
CNN,200,0.30000000000000004,4,350,166.2262678146358
CNN,200,0.30000000000000004,4,400,162.70123720169008
CNN,200,0.30000000000000004,4,450,158.68052542209557
CNN,200,0.30000000000000004,4,500,153.8649857044212
CNN,200,0.30000000000000004,5,50,183.18893671035732
CNN,200,0.30000000000000004,5,100,182.82575845718344
CNN,200,0.30000000000000004,5,150,182.0249223709102
CNN,200,0.30000000000000004,5,200,181.02650403976395
CNN,200,0.30000000000000004,5,250,179.6517181396481
CNN,200,0.30000000000000004,5,300,177.4978041648862
CNN,200,0.30000000000000004,5,350,175.170769691467
CNN,200,0.30000000000000004,5,400,172.35074520111056
CNN,200,0.30000000000000004,5,450,169.13417577743485
CNN,200,0.30000000000000004,5,500,165.2817440032954
CNN,200,0.30000000000000004,6,50,186.50300502777154
CNN,200,0.30000000000000004,6,100,186.20035648345993
CNN,200,0.30000000000000004,6,150,185.53299307823227
CNN,200,0.30000000000000004,6,200,184.70097780227712
CNN,200,0.30000000000000004,6,250,183.5553228855139
CNN,200,0.30000000000000004,6,300,181.7603945732124
CNN,200,0.30000000000000004,6,350,179.8211991786966
CNN,200,0.30000000000000004,6,400,177.4711787700664
CNN,200,0.30000000000000004,6,450,174.7907042503369
CNN,200,0.30000000000000004,6,500,171.58034443855414
CNN,200,0.30000000000000004,7,50,189.34186697006328
CNN,200,0.30000000000000004,7,100,189.08245393208216
CNN,200,0.30000000000000004,7,150,188.51042815617296
CNN,200,0.30000000000000004,7,200,187.79727220535455
CNN,200,0.30000000000000004,7,250,186.81528227670043
CNN,200,0.30000000000000004,7,300,185.27677229472772
CNN,200,0.30000000000000004,7,350,183.6146048137142
CNN,200,0.30000000000000004,7,400,181.60030160631686
